2026-06-19 21:29:40 | INFO | predict_pipeline:62 | Tabla mensual cargada desde caché (20 meses)
2026-06-19 21:29:40 | INFO | cleaning:104 | NaN imputados: 79 → 0
2026-06-19 21:29:40 | INFO | cleaning:104 | NaN imputados: 79 → 0
2026-06-19 21:29:40 | INFO | cleaning:310 | Limpieza aplicada (transform)
2026-06-19 21:29:40 | INFO | cleaning:310 | Limpieza aplicada (transform)
2026-06-19 21:29:40 | INFO | predict_pipeline:139 | 
Forecast para los próximos 3 meses:
2026-06-19 21:29:40 | INFO | predict_pipeline:139 | 
Forecast para los próximos 3 meses:
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Aug 2018: R$ 1,305,752.60 [1,151,797.43 – 1,459,707.78]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Aug 2018: R$ 1,305,752.60 [1,151,797.43 – 1,459,707.78]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Sep 2018: R$ 1,291,812.23 [1,017,427.57 – 1,566,196.89]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Sep 2018: R$ 1,291,812.23 [1,017,427.57 – 1,566,196.89]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Oct 2018: R$ 1,416,835.27 [1,090,412.70 – 1,743,257.83]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Oct 2018: R$ 1,416,835.27 [1,090,412.70 – 1,743,257.83]
2026-06-19 21:29:40 | INFO | predict_pipeline:47 | Cargando artefactos del modelo…
2026-06-19 21:29:40 | INFO | predict_pipeline:47 | Cargando artefactos del modelo…
2026-06-19 21:29:40 | INFO | predict_pipeline:47 | Cargando artefactos del modelo…
2026-06-19 21:29:40 | INFO | predict_pipeline:51 | Modelo cargado con 5 features
2026-06-19 21:29:40 | INFO | predict_pipeline:51 | Modelo cargado con 5 features
2026-06-19 21:29:40 | INFO | predict_pipeline:51 | Modelo cargado con 5 features
2026-06-19 21:29:40 | INFO | predict_pipeline:62 | Tabla mensual cargada desde caché (20 meses)
2026-06-19 21:29:40 | INFO | predict_pipeline:62 | Tabla mensual cargada desde caché (20 meses)
2026-06-19 21:29:40 | INFO | predict_pipeline:62 | Tabla mensual cargada desde caché (20 meses)
2026-06-19 21:29:40 | INFO | cleaning:104 | NaN imputados: 79 → 0
2026-06-19 21:29:40 | INFO | cleaning:104 | NaN imputados: 79 → 0
2026-06-19 21:29:40 | INFO | cleaning:104 | NaN imputados: 79 → 0
2026-06-19 21:29:40 | INFO | cleaning:310 | Limpieza aplicada (transform)
2026-06-19 21:29:40 | INFO | cleaning:310 | Limpieza aplicada (transform)
2026-06-19 21:29:40 | INFO | cleaning:310 | Limpieza aplicada (transform)
2026-06-19 21:29:40 | WARNING | predict_pipeline:108 | Horizonte solicitado (6) excede la capacidad del modelo (3). Se limita a 3 meses.
2026-06-19 21:29:40 | WARNING | predict_pipeline:108 | Horizonte solicitado (6) excede la capacidad del modelo (3). Se limita a 3 meses.
2026-06-19 21:29:40 | WARNING | predict_pipeline:108 | Horizonte solicitado (6) excede la capacidad del modelo (3). Se limita a 3 meses.
2026-06-19 21:29:40 | INFO | predict_pipeline:139 | 
Forecast para los próximos 3 meses:
2026-06-19 21:29:40 | INFO | predict_pipeline:139 | 
Forecast para los próximos 3 meses:
2026-06-19 21:29:40 | INFO | predict_pipeline:139 | 
Forecast para los próximos 3 meses:
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Aug 2018: R$ 1,305,752.60 [1,151,797.43 – 1,459,707.78]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Aug 2018: R$ 1,305,752.60 [1,151,797.43 – 1,459,707.78]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Aug 2018: R$ 1,305,752.60 [1,151,797.43 – 1,459,707.78]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Sep 2018: R$ 1,291,812.23 [1,017,427.57 – 1,566,196.89]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Sep 2018: R$ 1,291,812.23 [1,017,427.57 – 1,566,196.89]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Sep 2018: R$ 1,291,812.23 [1,017,427.57 – 1,566,196.89]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Oct 2018: R$ 1,416,835.27 [1,090,412.70 – 1,743,257.83]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Oct 2018: R$ 1,416,835.27 [1,090,412.70 – 1,743,257.83]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Oct 2018: R$ 1,416,835.27 [1,090,412.70 – 1,743,257.83]
2026-06-19 21:29:40 | INFO | predict_pipeline:47 | Cargando artefactos del modelo…
2026-06-19 21:29:40 | INFO | predict_pipeline:47 | Cargando artefactos del modelo…
2026-06-19 21:29:40 | INFO | predict_pipeline:47 | Cargando artefactos del modelo…
2026-06-19 21:29:40 | INFO | predict_pipeline:47 | Cargando artefactos del modelo…
2026-06-19 21:29:40 | INFO | predict_pipeline:51 | Modelo cargado con 5 features
2026-06-19 21:29:40 | INFO | predict_pipeline:51 | Modelo cargado con 5 features
2026-06-19 21:29:40 | INFO | predict_pipeline:51 | Modelo cargado con 5 features
2026-06-19 21:29:40 | INFO | predict_pipeline:51 | Modelo cargado con 5 features
2026-06-19 21:29:40 | INFO | predict_pipeline:62 | Tabla mensual cargada desde caché (20 meses)
2026-06-19 21:29:40 | INFO | predict_pipeline:62 | Tabla mensual cargada desde caché (20 meses)
2026-06-19 21:29:40 | INFO | predict_pipeline:62 | Tabla mensual cargada desde caché (20 meses)
2026-06-19 21:29:40 | INFO | predict_pipeline:62 | Tabla mensual cargada desde caché (20 meses)
2026-06-19 21:29:40 | INFO | cleaning:104 | NaN imputados: 79 → 0
2026-06-19 21:29:40 | INFO | cleaning:104 | NaN imputados: 79 → 0
2026-06-19 21:29:40 | INFO | cleaning:104 | NaN imputados: 79 → 0
2026-06-19 21:29:40 | INFO | cleaning:104 | NaN imputados: 79 → 0
2026-06-19 21:29:40 | INFO | cleaning:310 | Limpieza aplicada (transform)
2026-06-19 21:29:40 | INFO | cleaning:310 | Limpieza aplicada (transform)
2026-06-19 21:29:40 | INFO | cleaning:310 | Limpieza aplicada (transform)
2026-06-19 21:29:40 | INFO | cleaning:310 | Limpieza aplicada (transform)
2026-06-19 21:29:40 | WARNING | predict_pipeline:108 | Horizonte solicitado (12) excede la capacidad del modelo (3). Se limita a 3 meses.
2026-06-19 21:29:40 | WARNING | predict_pipeline:108 | Horizonte solicitado (12) excede la capacidad del modelo (3). Se limita a 3 meses.
2026-06-19 21:29:40 | WARNING | predict_pipeline:108 | Horizonte solicitado (12) excede la capacidad del modelo (3). Se limita a 3 meses.
2026-06-19 21:29:40 | WARNING | predict_pipeline:108 | Horizonte solicitado (12) excede la capacidad del modelo (3). Se limita a 3 meses.
2026-06-19 21:29:40 | INFO | predict_pipeline:139 | 
Forecast para los próximos 3 meses:
2026-06-19 21:29:40 | INFO | predict_pipeline:139 | 
Forecast para los próximos 3 meses:
2026-06-19 21:29:40 | INFO | predict_pipeline:139 | 
Forecast para los próximos 3 meses:
2026-06-19 21:29:40 | INFO | predict_pipeline:139 | 
Forecast para los próximos 3 meses:
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Aug 2018: R$ 1,305,752.60 [1,151,797.43 – 1,459,707.78]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Aug 2018: R$ 1,305,752.60 [1,151,797.43 – 1,459,707.78]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Aug 2018: R$ 1,305,752.60 [1,151,797.43 – 1,459,707.78]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Aug 2018: R$ 1,305,752.60 [1,151,797.43 – 1,459,707.78]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Sep 2018: R$ 1,291,812.23 [1,017,427.57 – 1,566,196.89]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Sep 2018: R$ 1,291,812.23 [1,017,427.57 – 1,566,196.89]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Sep 2018: R$ 1,291,812.23 [1,017,427.57 – 1,566,196.89]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Sep 2018: R$ 1,291,812.23 [1,017,427.57 – 1,566,196.89]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Oct 2018: R$ 1,416,835.27 [1,090,412.70 – 1,743,257.83]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Oct 2018: R$ 1,416,835.27 [1,090,412.70 – 1,743,257.83]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Oct 2018: R$ 1,416,835.27 [1,090,412.70 – 1,743,257.83]
2026-06-19 21:29:40 | INFO | predict_pipeline:141 |   Oct 2018: R$ 1,416,835.27 [1,090,412.70 – 1,743,257.83]
